id,collection_unit_id/id,service_price_id/id,multiplier,effective_from,effective_to,status
unitserviceprice_1,collectionunit_thugom2,serviceprice_1,1,2025-08-01,2025-12-31
unitserviceprice_2,collectionunit_thugom3,serviceprice_5,1,2025-08-01,2025-12-31
unitserviceprice_3,collectionunit_mtx,serviceprice_2,1,2025-08-01,2025-12-31
unitserviceprice_4,collectionunit_mtx,serviceprice_3,1,2025-08-01,2025-12-31
unitserviceprice_5,collectionunit_vsd,serviceprice_1,1,2025-08-01,2025-12-31
unitserviceprice_6,collectionunit_vsd,serviceprice_4,1,2025-08-01,2025-12-31
unitserviceprice_7,collectionunit_thugom1,serviceprice_2,1,2025-08-01,2025-12-31
unitserviceprice_8,collectionunit_thugom1,serviceprice_3,1,2025-08-01,2025-12-31
unitserviceprice_9,collectionunit_thugom2,serviceprice_4,1,2025-08-01,2025-12-31
unitserviceprice_10,collectionunit_thugom3,serviceprice_2,1,2025-08-01,2025-12-31
unitserviceprice_11,collectionunit_mtx,serviceprice_5,1,2025-08-01,2025-12-31
unitserviceprice_12,collectionunit_vsd,serviceprice_3,1,2025-08-01,2025-12-31
